,s18,s11,s03,s59,s41,s37,s05,s07,s09,s88,s47,s02,s33,s24,s21,s16,s19,s36,s39,s25,s27,s31,s43,s96,s58,s51,s57,s73,s86,s29,s90,B02,B04,B06,B08,B10,B24,B25,B12,B14,B16,B18,B20,B22,s17,s12,s04,s32,s42,s38,s06,s08,s10,s87,s48,s01,s34,s23,s22,s15,s20,s56,s40,s26,s28,s60,s44,s95,s61,s52,s63,s74,s85,s94,s89,B01,B03,B05,B07,B09,B23,B26,B11,B13,B15,B17,B19,B21
Bacteria;Chloroflexi;Dehalococcoidetes;Dehalococcoidales;Dehalococcoidaceae,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,2,9,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,3,0,0,0,0,4,4
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Pseudonocardiaceae;Pseudonocardia,0,0,0,0,0,60,0,0,0,0,0,10,0,0,2,2,3,0,1,0,0,30,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Ralstonia,3,7,14,1,19,0,0,11,5,21,0,8,13,0,0,0,12,5,20,26,1,4,0,3,0,4,8,3,8,0,1,0,3,2,0,1,16,0,13,0,0,11,8,0,34,9,9,11,43,6,4,0,12,7,6,0,0,5,2,2,1,2,22,56,1,3,0,10,23,21,20,0,14,1,0,3,1,3,13,0,0,13,1,29,0,5,5,12
Bacteria;Fibrobacteres;Fibrobacteria;258ds10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Bacteria;Poribacteria,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;BME43,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0
Bacteria;Chloroflexi;SAR202,0,1,6,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,22,0,0,0,0,1,0,1,0,1,0,26,0,0,0,0,40,0,0,0,2,0,1,0,0,0,0,4,2,0,31,0,0,1,14,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium,0,12,4,0,4,0,5,0,6,110,1,1,10,10,12,3,0,0,29,1,95,0,2,3,4,46,0,14,0,6,4,0,0,2,0,2,0,3,0,3,0,0,2,6,0,5,0,4,0,0,0,2,11,1,5,3,1,0,4,3,0,5,45,1,0,1,2,2,0,31,1,0,0,0,0,0,0,4,0,1,0,1,0,6,0,0,35,2
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;casseliflavus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,368,0,0,0,0,0,0,0,68,0,0,1,0,78,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Raoultella;terrigena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Ruminobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Glycomycetaceae;Glycomyces,0,1,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Actinobacteria;Actinobacteria;WCHB1-81;At425_EubF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio,0,3,0,2,3,0,58,0,0,0,2,12,0,0,0,0,0,0,0,0,0,3,0,2,0,0,8,3,0,0,0,2,0,1,0,6,0,20,0,0,0,0,5,0,0,13,110,17,0,1,0,0,0,15,17,0,171,5,2,0,0,0,0,0,5,15,1,4,0,0,0,5,37,52,0,0,0,3,0,0,8,0,0,0,0,0,0,0
Bacteria;SBR1093,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces,3,9,0,0,1,0,3,0,5,2,1,5,0,11,5,7,0,0,2,0,4,17,18,1,0,0,0,0,3,0,0,0,0,0,5,1,0,2,0,12,0,0,0,0,0,1,13,0,0,0,1,5,0,0,2,0,0,1,0,1,0,0,0,0,0,5,0,15,0,1,0,0,0,15,0,0,0,0,4,1,3,0,0,0,2,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae,1,24,14,3,9,0,0,56,1,58,1,0,0,35,24,0,31,0,225,31,5,15,22,57,0,0,0,34,0,27,73,2,86,3,2,0,0,1,0,0,0,10,5,21,0,2,0,5,5,7,15,0,0,2,47,22,0,1,1,71,26,12,286,0,0,5,7,0,14,4,4,25,7,0,17,5,4,0,0,0,0,3,0,0,0,2,6,0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae,10,110,115,31,23,41,110,3,35,86,8,122,168,33,41,12,7,35,15,1,78,254,77,74,98,153,6,83,63,87,96,121,16,6,26,322,42,72,0,51,0,0,84,15,11,131,9,42,226,55,50,74,0,65,2,74,109,34,72,25,2,84,48,23,2,35,9,29,35,8,45,18,3,7,80,137,39,20,38,135,64,4,66,15,29,35,49,1
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Phascolarctobacterium,0,2,0,0,0,70,0,22,3,0,0,0,0,0,0,12,0,78,0,0,0,0,33,0,0,0,0,3,0,0,9,0,0,38,0,0,0,16,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,24,0,9,0,0,0,0,9,0,0,9,0,0,1,29,0,0,1,0,0,0,0,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae,0,2,7,0,1,1,16,1,8,3,0,1,6,0,4,0,0,0,0,1,12,0,0,0,0,0,0,3,0,0,4,0,0,0,0,224,0,1,2,0,0,1,0,2,0,5,20,10,2,0,0,0,0,7,0,14,6,1,1,6,2,14,0,0,0,0,1,0,4,1,14,0,0,8,0,0,1,3,0,2,27,5,1,0,13,0,1,1
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae,0,2,2,0,0,1,70,0,0,13,4,1,0,0,0,0,0,0,0,0,6,0,1,0,2,0,0,0,0,0,0,0,0,0,0,10,0,41,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,27,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Bacteria,0,2,0,4,4,4,4,0,3,0,6,4,2,26,3,0,0,1,0,0,0,1,0,1,0,1,0,9,1,0,0,13,0,0,9,4,1,0,0,1,0,0,0,0,2,1,1,2,2,14,7,0,1,6,2,1,0,5,33,3,1,3,0,4,1,1,3,0,3,2,4,4,2,8,0,1,0,6,0,3,1,3,8,12,0,1,0,4
Bacteria;Tenericutes;Mollicutes;RF39,76,10,0,0,0,0,2,1,0,0,0,0,0,5,0,32,0,0,0,0,1,0,0,0,0,0,0,0,0,23,0,0,0,0,134,16,0,0,0,0,0,0,0,201,0,2,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Micrococcus;luteus,0,0,0,61,0,0,92,17,0,0,0,0,0,11,17,54,9,6,0,34,0,27,16,12,0,36,0,13,0,0,0,0,0,0,6,0,20,40,36,0,0,0,11,0,0,13,0,0,0,1,0,0,0,65,25,0,0,34,37,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0,0,0,0,29,0,0,0,0,0,6,0,0,0
Bacteria;Firmicutes;Bacilli;Lactobacillales,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,21,0,0,0,0,4,1,0,12,4,0,6,0,0,0,0,0,0,0,0,0,12,2
Bacteria;TM7;MJK10,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,1,1,2,0,2,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Peptostreptococcus,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,25,0,30,0,0,28,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,102,10,74,0,0,0,0,0,0,0,43,0,33,0,16,4,0,87,0,1,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,66,0,0
Bacteria;TM7;SC3,0,2,4,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Streptomycetaceae;Streptomyces,0,11,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,3,12,0,6,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae;Planifilum,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospira,0,0,1,28,0,0,0,0,3,0,24,0,1,0,0,6,0,0,0,64,0,0,5,15,0,0,0,0,56,23,81,0,0,1,43,0,0,0,0,0,0,0,5,27,0,0,0,0,0,7,7,0,0,0,0,0,0,0,1,0,0,0,0,21,0,3,0,10,0,0,0,0,1,0,90,4,0,0,0,0,0,10,0,0,0,0,25,0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;aerofaciens,0,33,0,0,0,0,0,32,2,0,0,0,0,5,10,3,7,0,61,11,0,1,11,31,17,0,21,0,1,12,18,34,0,8,0,0,0,0,0,0,0,21,7,12,0,0,0,0,0,0,0,0,0,0,0,5,16,7,3,15,29,8,1,0,0,0,0,0,0,2,0,0,22,0,0,23,0,0,0,0,0,21,0,0,0,3,19,0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae,0,5,0,0,0,28,0,0,0,50,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Chloroflexi;Anaerolineae;SBR1031;SJA-101,3,9,17,1,0,7,23,0,32,0,9,14,17,0,11,0,0,0,0,0,6,38,2,0,0,3,0,0,1,1,1,0,0,3,0,3,0,8,0,0,0,0,0,0,7,9,0,5,7,10,2,6,0,0,4,73,2,30,2,7,11,16,2,3,2,2,0,0,2,37,18,7,0,7,8,4,0,10,0,0,9,0,0,0,0,1,8,5
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella,1,21,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,20,1,0,2,0,0,0,0,0,0,15,0,0,0,0,19,3,0,1,0,5,1,0,0,0,0,0,0,19,0,206,73,0,0,25,0,0,0,13,8,13,0,0,0,33,0,0,0,0,16,2,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,61
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea,0,53,21,0,13,5,7,8,21,31,5,51,21,7,3,48,1,38,2,1,63,6,24,26,30,116,86,41,10,2,6,70,36,2,24,11,16,2,102,0,15,8,5,27,20,38,16,0,31,19,3,0,0,3,2,61,45,6,43,19,1,26,1,7,0,8,41,0,32,40,64,69,6,14,2,31,16,0,30,17,3,5,3,0,16,0,7,1
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae,0,41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,65,0,1,20,0,0,0,75,16,0,34,0,6,18,26,19,24,0,0,55,0,39,3,1,8,0,0,0,0,0,126,29,0,0,2,0,2,0,23,0,0,95,30,1,50,122,157,16,6,2,0,0,0,0,0,30,78,0,0,0,30,0,34,0,0,73,1,34,5,224
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;[Odoribacteraceae];Odoribacter,0,0,0,17,1,0,0,0,19,0,15,0,3,0,8,0,102,66,0,0,14,0,35,32,0,0,0,0,0,29,20,0,0,0,82,0,0,20,0,0,0,1,29,75,0,5,6,0,0,1,0,0,0,9,12,0,0,0,0,4,149,0,0,0,0,0,41,0,0,0,0,26,1,0,8,0,0,4,13,0,2,17,0,1,0,0,6,27
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella,74,55,46,56,227,0,28,9,6,4,300,22,257,11,60,12,59,5,34,82,31,75,1,92,125,74,5,331,51,34,15,3,0,67,1,36,0,55,6,0,17,76,36,0,162,137,96,122,49,119,81,358,2,19,38,43,45,47,107,8,44,52,1,25,0,270,53,1,97,4,58,75,24,72,49,8,5,24,0,66,70,32,1,159,39,188,44,141
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;brevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Thiohalorhabdales,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae;Thermoactinomyces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;bromii,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,1,0,120,0,0,0,0,0,31,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardioidaceae,0,12,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,6,0,7,0,0,3,0,0,0,1,4,5,0,0,0,17,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae,2,32,4,179,40,0,13,0,2,392,0,0,0,0,1,0,64,304,221,14,0,0,61,44,15,22,0,0,20,2,3,314,0,38,14,6,108,0,0,0,216,50,123,85,4,0,0,0,160,35,0,1,0,0,0,20,14,0,0,0,82,8,274,0,77,30,6,42,43,1,0,72,0,0,0,274,0,82,0,2,0,0,2,0,1,0,18,0
Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,22,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacter;cloacae,0,0,0,0,2,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,17,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,9,0,0,19,0,6,1,4,0,0,0,0,3,0,0,0,7,1,0,0,0,0,0,0,0,1,1,3,1,0,0,4,0
Bacteria;MVP-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfosporosinus;meridiei,0,46,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,8,0,0,0,26,0,0,42,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bacteria;NKB19,2,2,0,0,3,0,0,0,0,0,0,0,5,3,11,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,1,0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Slackia,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Microbacterium,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Pseudonocardiaceae;Actinomycetospora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Bacteria;Spirochaetes;Spirochaetes;Sphaerochaetales;Sphaerochaetaceae;Sphaerochaeta,0,0,4,0,0,1,0,0,17,0,3,0,0,0,10,0,0,0,0,0,11,7,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,20,3,10,0,0,0,0,0,4,0,4,4,0,0,0,0,0,0,3,1,0,0,2,0,3,2,0,3,0,0,7,0,0,0,1,0,0,9,0,0,1
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Methylibium,8,48,95,0,1,51,115,3,24,76,0,34,13,0,61,0,0,0,0,7,58,3,58,22,30,2,0,200,133,0,25,125,0,12,0,0,0,20,0,18,0,0,0,0,28,74,57,170,0,11,3,126,0,0,32,60,88,32,0,104,11,13,0,33,27,47,102,0,20,10,0,5,69,26,66,30,0,148,0,26,238,46,0,7,85,0,18,1
Bacteria;TM7,0,18,0,0,0,0,0,0,5,0,6,0,10,0,0,2,0,1,0,4,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,2,0,0,2,0,0,2,0,0,0,0,0,0,4,0,4,0,0,3,9,2,3,6,8,0,0,0,0,4,0,1,0,0,4,5,0,2,8,0,0,0,4,9,0,5,0,3,2,1,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Pelotomaculum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Baumannia;cicadellinicola,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Synergistetes;Synergistia;Synergistales;Dethiosulfovibrionaceae;HA73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
